Iteration,Shape1,Width1,Height1,Color1,Shape2,Width2,Height2,Color2,Shape3,Width3,Height3,Color3,Shape4,Width4,Height4,Color4,Shape5,Width5,Height5,Color5,iteration
57,Rect1,60,14,orange,Rect2,118,32,red,Rect3,116,38,red,Rect4,44,38,yellow,Rect5,306,67,blue,31
58,Rect1,60,22,orange,Rect2,112,34,red,Rect3,112,32,red,Rect4,42,30,yellow,Rect5,300,73,blue,31
59,Rect1,64,18,orange,Rect2,114,38,red,Rect3,120,40,red,Rect4,50,30,yellow,Rect5,300,73,blue,31
60,Rect1,70,12,orange,Rect2,116,34,red,Rect3,112,36,red,Rect4,42,30,yellow,Rect5,300,65,blue,31
61,Rect1,64,16,orange,Rect2,116,36,red,Rect3,110,30,red,Rect4,42,32,yellow,Rect5,304,65,blue,31
62,Rect1,62,16,orange,Rect2,110,40,red,Rect3,112,30,red,Rect4,40,38,yellow,Rect5,302,73,blue,31
63,Rect1,64,20,orange,Rect2,118,36,red,Rect3,120,34,red,Rect4,42,36,yellow,Rect5,310,69,blue,31
64,Rect1,62,16,orange,Rect2,110,36,red,Rect3,112,36,red,Rect4,40,38,yellow,Rect5,308,65,blue,31
65,Rect1,70,20,orange,Rect2,110,32,red,Rect3,116,34,red,Rect4,44,40,yellow,Rect5,308,71,blue,31
66,Rect1,66,20,orange,Rect2,112,40,red,Rect3,118,36,red,Rect4,50,40,yellow,Rect5,300,71,blue,31
67,Rect1,62,20,orange,Rect2,116,34,red,Rect3,118,32,red,Rect4,44,38,yellow,Rect5,306,73,blue,31
68,Rect1,60,12,orange,Rect2,116,32,red,Rect3,118,36,red,Rect4,48,32,yellow,Rect5,306,65,blue,31
69,Rect1,62,14,orange,Rect2,116,34,red,Rect3,118,38,red,Rect4,46,36,yellow,Rect5,306,75,blue,31
70,Rect1,60,18,orange,Rect2,116,34,red,Rect3,116,38,red,Rect4,48,40,yellow,Rect5,300,71,blue,31
71,Rect1,62,16,orange,Rect2,114,34,red,Rect3,114,34,red,Rect4,48,32,yellow,Rect5,302,67,blue,31
72,Rect1,66,12,orange,Rect2,120,36,red,Rect3,114,30,red,Rect4,40,36,yellow,Rect5,304,69,blue,31
73,Rect1,60,22,orange,Rect2,118,34,red,Rect3,120,36,red,Rect4,40,34,yellow,Rect5,306,67,blue,31
74,Rect1,60,16,orange,Rect2,112,32,red,Rect3,118,36,red,Rect4,48,36,yellow,Rect5,300,65,blue,31
75,Rect1,62,20,orange,Rect2,112,36,red,Rect3,114,40,red,Rect4,50,40,yellow,Rect5,306,73,blue,31
76,Rect1,68,18,orange,Rect2,110,36,red,Rect3,116,30,red,Rect4,46,30,yellow,Rect5,308,69,blue,31
77,Rect1,64,18,orange,Rect2,116,30,red,Rect3,110,38,red,Rect4,40,36,yellow,Rect5,308,73,blue,31
78,Rect1,66,22,orange,Rect2,114,34,red,Rect3,120,38,red,Rect4,46,32,yellow,Rect5,300,73,blue,31
79,Rect1,64,20,orange,Rect2,110,36,red,Rect3,118,34,red,Rect4,46,38,yellow,Rect5,308,75,blue,31
80,Rect1,62,22,orange,Rect2,110,34,red,Rect3,114,32,red,Rect4,42,36,yellow,Rect5,302,65,blue,31
81,Rect1,70,20,orange,Rect2,112,34,red,Rect3,114,32,red,Rect4,44,38,yellow,Rect5,308,69,blue,31
82,Rect1,62,18,orange,Rect2,114,38,red,Rect3,112,34,red,Rect4,42,40,yellow,Rect5,300,71,blue,31
83,Rect1,68,16,orange,Rect2,114,38,red,Rect3,116,30,red,Rect4,44,32,yellow,Rect5,300,69,blue,31
84,Rect1,70,20,orange,Rect2,114,32,red,Rect3,112,32,red,Rect4,44,36,yellow,Rect5,308,73,blue,31
85,Rect1,66,16,orange,Rect2,114,34,red,Rect3,112,38,red,Rect4,44,38,yellow,Rect5,302,69,blue,31
86,Rect1,68,20,orange,Rect2,112,40,red,Rect3,118,38,red,Rect4,48,38,yellow,Rect5,304,75,blue,31
87,Rect1,64,12,orange,Rect2,118,30,red,Rect3,114,40,red,Rect4,48,38,yellow,Rect5,304,73,blue,31
88,Rect1,64,22,orange,Rect2,116,30,red,Rect3,120,34,red,Rect4,44,40,yellow,Rect5,300,67,blue,31
89,Rect1,62,12,orange,Rect2,114,38,red,Rect3,114,30,red,Rect4,48,36,yellow,Rect5,300,71,blue,31
90,Rect1,66,14,orange,Rect2,118,36,red,Rect3,116,36,red,Rect4,48,34,yellow,Rect5,304,67,blue,31
91,Rect1,66,16,orange,Rect2,116,34,red,Rect3,112,34,red,Rect4,40,30,yellow,Rect5,302,73,blue,31
92,Rect1,68,14,orange,Rect2,120,38,red,Rect3,114,40,red,Rect4,42,32,yellow,Rect5,306,67,blue,31
93,Rect1,66,14,orange,Rect2,116,32,red,Rect3,116,32,red,Rect4,50,40,yellow,Rect5,306,69,blue,31
94,Rect1,64,22,orange,Rect2,114,36,red,Rect3,120,36,red,Rect4,42,36,yellow,Rect5,302,73,blue,31
95,Rect1,66,22,orange,Rect2,116,38,red,Rect3,114,30,red,Rect4,44,36,yellow,Rect5,300,73,blue,31
96,Rect1,68,14,orange,Rect2,116,38,red,Rect3,120,38,red,Rect4,40,34,yellow,Rect5,300,65,blue,31
97,Rect1,60,18,orange,Rect2,110,34,red,Rect3,118,38,red,Rect4,48,30,yellow,Rect5,308,71,blue,31
98,Rect1,64,16,orange,Rect2,112,30,red,Rect3,116,34,red,Rect4,40,36,yellow,Rect5,302,67,blue,31
99,Rect1,68,14,orange,Rect2,120,36,red,Rect3,112,34,red,Rect4,44,32,yellow,Rect5,308,65,blue,31
100,Rect1,70,20,orange,Rect2,114,38,red,Rect3,112,40,red,Rect4,40,36,yellow,Rect5,300,75,blue,31
101,Rect1,70,22,orange,Rect2,114,34,red,Rect3,112,34,red,Rect4,46,34,yellow,Rect5,304,69,blue,31
102,Rect1,64,14,orange,Rect2,110,30,red,Rect3,110,32,red,Rect4,44,36,yellow,Rect5,304,75,blue,31
103,Rect1,60,18,orange,Rect2,110,34,red,Rect3,112,38,red,Rect4,44,36,yellow,Rect5,300,65,blue,31
104,Rect1,60,20,orange,Rect2,110,38,red,Rect3,120,38,red,Rect4,48,30,yellow,Rect5,304,71,blue,31
105,Rect1,64,16,orange,Rect2,116,30,red,Rect3,110,34,red,Rect4,42,34,yellow,Rect5,300,67,blue,31
106,Rect1,64,20,orange,Rect2,112,30,red,Rect3,112,36,red,Rect4,42,38,yellow,Rect5,304,69,blue,31
107,Rect1,66,14,orange,Rect2,112,40,red,Rect3,112,30,red,Rect4,46,32,yellow,Rect5,306,67,blue,31
108,Rect1,64,20,orange,Rect2,116,38,red,Rect3,114,38,red,Rect4,46,36,yellow,Rect5,302,73,blue,31
109,Rect1,68,20,orange,Rect2,110,38,red,Rect3,116,36,red,Rect4,44,32,yellow,Rect5,306,67,blue,31
110,Rect1,64,18,orange,Rect2,112,36,red,Rect3,112,36,red,Rect4,48,30,yellow,Rect5,300,71,blue,31
111,Rect1,66,16,orange,Rect2,114,32,red,Rect3,112,36,red,Rect4,40,40,yellow,Rect5,310,71,blue,31
112,Rect1,60,16,orange,Rect2,116,32,red,Rect3,116,30,red,Rect4,40,40,yellow,Rect5,300,73,blue,31
113,Rect1,68,12,orange,Rect2,114,36,red,Rect3,118,30,red,Rect4,46,32,yellow,Rect5,302,67,blue,31
114,Rect1,64,18,orange,Rect2,118,38,red,Rect3,116,30,red,Rect4,46,32,yellow,Rect5,308,71,blue,31
115,Rect1,68,22,orange,Rect2,114,36,red,Rect3,110,32,red,Rect4,48,36,yellow,Rect5,302,69,blue,31
116,Rect1,66,12,orange,Rect2,110,34,red,Rect3,110,38,red,Rect4,50,34,yellow,Rect5,306,67,blue,31
117,Rect1,64,18,orange,Rect2,118,32,red,Rect3,114,30,red,Rect4,40,40,yellow,Rect5,310,65,blue,31
118,Rect1,62,22,orange,Rect2,114,34,red,Rect3,120,32,red,Rect4,48,34,yellow,Rect5,304,75,blue,31
119,Rect1,68,14,orange,Rect2,112,36,red,Rect3,118,30,red,Rect4,48,30,yellow,Rect5,306,65,blue,31
120,Rect1,66,18,orange,Rect2,120,32,red,Rect3,110,30,red,Rect4,42,38,yellow,Rect5,308,65,blue,31
121,Rect1,70,20,orange,Rect2,116,36,red,Rect3,114,30,red,Rect4,40,32,yellow,Rect5,302,69,blue,31
122,Rect1,62,16,orange,Rect2,110,34,red,Rect3,120,36,red,Rect4,48,40,yellow,Rect5,308,75,blue,31
123,Rect1,68,16,orange,Rect2,112,32,red,Rect3,118,34,red,Rect4,40,36,yellow,Rect5,304,67,blue,31
124,Rect1,62,12,orange,Rect2,118,34,red,Rect3,118,40,red,Rect4,44,40,yellow,Rect5,310,71,blue,31
125,Rect1,68,18,orange,Rect2,116,30,red,Rect3,116,36,red,Rect4,44,32,yellow,Rect5,306,65,blue,31
126,Rect1,68,20,orange,Rect2,118,36,red,Rect3,110,34,red,Rect4,40,30,yellow,Rect5,304,65,blue,31
127,Rect1,68,18,orange,Rect2,112,36,red,Rect3,120,40,red,Rect4,48,32,yellow,Rect5,310,67,blue,31
128,Rect1,66,12,orange,Rect2,114,36,red,Rect3,110,34,red,Rect4,40,32,yellow,Rect5,304,73,blue,31
129,Rect1,60,14,orange,Rect2,110,34,red,Rect3,120,32,red,Rect4,44,36,yellow,Rect5,306,69,blue,31
130,Rect1,60,20,orange,Rect2,118,30,red,Rect3,112,34,red,Rect4,42,30,yellow,Rect5,310,69,blue,31
131,Rect1,64,16,orange,Rect2,112,32,red,Rect3,116,38,red,Rect4,44,38,yellow,Rect5,308,69,blue,31
132,Rect1,68,12,orange,Rect2,114,32,red,Rect3,116,36,red,Rect4,46,38,yellow,Rect5,306,67,blue,31
133,Rect1,62,14,orange,Rect2,118,38,red,Rect3,116,36,red,Rect4,42,36,yellow,Rect5,308,65,blue,31
134,Rect1,70,16,orange,Rect2,112,36,red,Rect3,116,32,red,Rect4,46,38,yellow,Rect5,310,65,blue,31
135,Rect1,68,14,orange,Rect2,114,38,red,Rect3,110,32,red,Rect4,50,38,yellow,Rect5,300,67,blue,31
136,Rect1,70,16,orange,Rect2,110,32,red,Rect3,114,34,red,Rect4,42,30,yellow,Rect5,308,69,blue,31
137,Rect1,60,20,orange,Rect2,110,32,red,Rect3,110,30,red,Rect4,42,32,yellow,Rect5,302,65,blue,31
138,Rect1,62,16,orange,Rect2,110,36,red,Rect3,112,40,red,Rect4,48,34,yellow,Rect5,308,73,blue,31
139,Rect1,64,12,orange,Rect2,112,38,red,Rect3,110,36,red,Rect4,50,38,yellow,Rect5,304,67,blue,31
140,Rect1,68,14,orange,Rect2,114,34,red,Rect3,112,40,red,Rect4,48,36,yellow,Rect5,302,75,blue,31
141,Rect1,60,12,orange,Rect2,112,32,red,Rect3,112,32,red,Rect4,46,36,yellow,Rect5,304,65,blue,31
142,Rect1,64,14,orange,Rect2,116,32,red,Rect3,112,32,red,Rect4,42,30,yellow,Rect5,310,71,blue,31
143,Rect1,70,22,orange,Rect2,120,36,red,Rect3,110,30,red,Rect4,42,36,yellow,Rect5,300,75,blue,31
144,Rect1,64,20,orange,Rect2,118,38,red,Rect3,112,32,red,Rect4,42,30,yellow,Rect5,300,67,blue,31
145,Rect1,68,20,orange,Rect2,118,32,red,Rect3,120,30,red,Rect4,48,32,yellow,Rect5,302,73,blue,31
146,Rect1,62,14,orange,Rect2,114,32,red,Rect3,116,30,red,Rect4,46,36,yellow,Rect5,308,69,blue,31
147,Rect1,60,20,orange,Rect2,120,30,red,Rect3,110,30,red,Rect4,40,30,yellow,Rect5,300,73,blue,31
148,Rect1,60,20,orange,Rect2,120,36,red,Rect3,114,32,red,Rect4,40,40,yellow,Rect5,302,67,blue,31
149,Rect1,66,18,orange,Rect2,114,40,red,Rect3,110,36,red,Rect4,44,38,yellow,Rect5,304,75,blue,31
150,Rect1,64,22,orange,Rect2,118,34,red,Rect3,116,36,red,Rect4,46,38,yellow,Rect5,308,75,blue,31
151,Rect1,64,14,orange,Rect2,114,30,red,Rect3,110,40,red,Rect4,50,36,yellow,Rect5,304,67,blue,31
152,Rect1,62,12,orange,Rect2,114,32,red,Rect3,120,36,red,Rect4,42,32,yellow,Rect5,310,73,blue,31
153,Rect1,62,20,orange,Rect2,118,34,red,Rect3,120,38,red,Rect4,44,34,yellow,Rect5,310,75,blue,31
154,Rect1,62,18,orange,Rect2,110,34,red,Rect3,118,30,red,Rect4,42,32,yellow,Rect5,302,67,blue,31
155,Rect1,70,14,orange,Rect2,110,38,red,Rect3,114,34,red,Rect4,48,36,yellow,Rect5,306,69,blue,31
156,Rect1,68,18,orange,Rect2,116,40,red,Rect3,114,38,red,Rect4,40,30,yellow,Rect5,304,71,blue,31
157,Rect1,60,12,orange,Rect2,114,36,red,Rect3,118,34,red,Rect4,40,30,yellow,Rect5,304,75,blue,31
158,Rect1,68,16,orange,Rect2,110,32,red,Rect3,116,34,red,Rect4,42,40,yellow,Rect5,304,69,blue,31
159,Rect1,60,20,orange,Rect2,116,32,red,Rect3,120,40,red,Rect4,42,36,yellow,Rect5,306,65,blue,31
160,Rect1,62,16,orange,Rect2,118,38,red,Rect3,116,36,red,Rect4,46,40,yellow,Rect5,308,73,blue,31
161,Rect1,70,16,orange,Rect2,118,34,red,Rect3,118,32,red,Rect4,46,36,yellow,Rect5,306,67,blue,31
162,Rect1,70,14,orange,Rect2,116,38,red,Rect3,110,30,red,Rect4,48,30,yellow,Rect5,308,65,blue,31
163,Rect1,70,16,orange,Rect2,112,40,red,Rect3,110,34,red,Rect4,42,34,yellow,Rect5,306,71,blue,31
164,Rect1,60,16,orange,Rect2,110,32,red,Rect3,116,36,red,Rect4,46,40,yellow,Rect5,304,73,blue,31
165,Rect1,62,16,orange,Rect2,116,40,red,Rect3,110,36,red,Rect4,42,40,yellow,Rect5,304,71,blue,31
166,Rect1,62,16,orange,Rect2,116,38,red,Rect3,118,30,red,Rect4,46,38,yellow,Rect5,310,73,blue,31
167,Rect1,60,20,orange,Rect2,114,40,red,Rect3,118,40,red,Rect4,44,32,yellow,Rect5,300,69,blue,31
168,Rect1,68,12,orange,Rect2,114,32,red,Rect3,114,38,red,Rect4,44,38,yellow,Rect5,306,69,blue,31
169,Rect1,64,16,orange,Rect2,118,38,red,Rect3,114,38,red,Rect4,42,34,yellow,Rect5,300,75,blue,31
170,Rect1,64,16,orange,Rect2,112,34,red,Rect3,118,30,red,Rect4,42,36,yellow,Rect5,310,65,blue,31
171,Rect1,64,18,orange,Rect2,118,36,red,Rect3,114,36,red,Rect4,40,38,yellow,Rect5,308,71,blue,31
172,Rect1,64,12,orange,Rect2,116,32,red,Rect3,116,32,red,Rect4,50,38,yellow,Rect5,300,75,blue,31
173,Rect1,68,20,orange,Rect2,110,32,red,Rect3,118,30,red,Rect4,50,32,yellow,Rect5,306,65,blue,31
174,Rect1,66,14,orange,Rect2,120,34,red,Rect3,120,36,red,Rect4,44,34,yellow,Rect5,300,69,blue,31
175,Rect1,62,14,orange,Rect2,110,30,red,Rect3,120,36,red,Rect4,48,34,yellow,Rect5,308,67,blue,31
176,Rect1,62,14,orange,Rect2,110,36,red,Rect3,112,36,red,Rect4,42,36,yellow,Rect5,306,71,blue,31
177,Rect1,68,16,orange,Rect2,114,34,red,Rect3,114,30,red,Rect4,48,38,yellow,Rect5,306,73,blue,31
178,Rect1,68,16,orange,Rect2,114,30,red,Rect3,114,32,red,Rect4,48,34,yellow,Rect5,306,71,blue,31
179,Rect1,68,14,orange,Rect2,116,32,red,Rect3,114,38,red,Rect4,48,34,yellow,Rect5,306,69,blue,31
180,Rect1,64,18,orange,Rect2,114,30,red,Rect3,118,36,red,Rect4,44,36,yellow,Rect5,306,73,blue,31
181,Rect1,62,12,orange,Rect2,116,30,red,Rect3,112,34,red,Rect4,42,32,yellow,Rect5,306,75,blue,31
182,Rect1,64,12,orange,Rect2,118,36,red,Rect3,120,30,red,Rect4,50,34,yellow,Rect5,306,75,blue,31
183,Rect1,68,18,orange,Rect2,116,30,red,Rect3,114,36,red,Rect4,44,30,yellow,Rect5,304,73,blue,31
184,Rect1,70,18,orange,Rect2,116,30,red,Rect3,110,34,red,Rect4,44,32,yellow,Rect5,302,67,blue,31
185,Rect1,60,14,orange,Rect2,110,40,red,Rect3,114,32,red,Rect4,46,30,yellow,Rect5,310,73,blue,31
186,Rect1,66,16,orange,Rect2,118,30,red,Rect3,120,36,red,Rect4,40,36,yellow,Rect5,300,65,blue,31
187,Rect1,68,22,orange,Rect2,118,38,red,Rect3,114,40,red,Rect4,40,36,yellow,Rect5,306,65,blue,31
188,Rect1,60,18,orange,Rect2,114,40,red,Rect3,116,38,red,Rect4,44,34,yellow,Rect5,310,73,blue,31
189,Rect1,66,20,orange,Rect2,114,40,red,Rect3,116,32,red,Rect4,44,38,yellow,Rect5,302,75,blue,31
190,Rect1,62,12,orange,Rect2,120,36,red,Rect3,116,38,red,Rect4,40,38,yellow,Rect5,310,65,blue,31
191,Rect1,60,16,orange,Rect2,110,34,red,Rect3,116,34,red,Rect4,44,32,yellow,Rect5,300,73,blue,31
192,Rect1,70,18,orange,Rect2,118,32,red,Rect3,118,36,red,Rect4,42,30,yellow,Rect5,306,69,blue,31
193,Rect1,66,16,orange,Rect2,120,36,red,Rect3,114,36,red,Rect4,44,34,yellow,Rect5,304,75,blue,31
194,Rect1,62,16,orange,Rect2,118,36,red,Rect3,112,30,red,Rect4,40,38,yellow,Rect5,302,69,blue,31
195,Rect1,64,12,orange,Rect2,110,38,red,Rect3,112,40,red,Rect4,40,38,yellow,Rect5,308,71,blue,31
196,Rect1,60,22,orange,Rect2,110,32,red,Rect3,110,36,red,Rect4,48,36,yellow,Rect5,304,65,blue,31
197,Rect1,64,20,orange,Rect2,110,34,red,Rect3,112,38,red,Rect4,48,38,yellow,Rect5,304,69,blue,31
198,Rect1,62,20,orange,Rect2,116,34,red,Rect3,116,36,red,Rect4,48,30,yellow,Rect5,308,69,blue,31
199,Rect1,60,18,orange,Rect2,112,38,red,Rect3,114,32,red,Rect4,48,38,yellow,Rect5,310,73,blue,31
200,Rect1,64,14,orange,Rect2,112,30,red,Rect3,114,32,red,Rect4,50,40,yellow,Rect5,308,67,blue,31
201,Rect1,60,18,orange,Rect2,116,34,red,Rect3,116,32,red,Rect4,42,32,yellow,Rect5,308,67,blue,31
202,Rect1,68,18,orange,Rect2,118,32,red,Rect3,112,34,red,Rect4,48,32,yellow,Rect5,306,75,blue,31
203,Rect1,64,20,orange,Rect2,118,38,red,Rect3,114,32,red,Rect4,48,38,yellow,Rect5,308,65,blue,31
204,Rect1,62,14,orange,Rect2,118,32,red,Rect3,116,32,red,Rect4,50,34,yellow,Rect5,302,73,blue,31
205,Rect1,64,16,orange,Rect2,112,34,red,Rect3,116,36,red,Rect4,48,40,yellow,Rect5,306,67,blue,31
206,Rect1,64,20,orange,Rect2,110,34,red,Rect3,114,32,red,Rect4,44,36,yellow,Rect5,302,71,blue,31
207,Rect1,64,14,orange,Rect2,114,36,red,Rect3,112,36,red,Rect4,48,32,yellow,Rect5,306,71,blue,31
208,Rect1,68,12,orange,Rect2,110,36,red,Rect3,120,36,red,Rect4,40,38,yellow,Rect5,306,73,blue,31
209,Rect1,66,12,orange,Rect2,110,36,red,Rect3,114,32,red,Rect4,46,38,yellow,Rect5,308,69,blue,31
210,Rect1,62,12,orange,Rect2,116,40,red,Rect3,116,34,red,Rect4,48,34,yellow,Rect5,304,71,blue,31
211,Rect1,60,20,orange,Rect2,112,32,red,Rect3,114,32,red,Rect4,50,34,yellow,Rect5,300,71,blue,31
212,Rect1,62,14,orange,Rect2,110,36,red,Rect3,118,36,red,Rect4,50,32,yellow,Rect5,306,69,blue,31
213,Rect1,62,22,orange,Rect2,116,30,red,Rect3,118,32,red,Rect4,46,32,yellow,Rect5,304,65,blue,31
214,Rect1,64,14,orange,Rect2,116,34,red,Rect3,114,32,red,Rect4,44,32,yellow,Rect5,302,69,blue,31
215,Rect1,66,20,orange,Rect2,110,40,red,Rect3,118,36,red,Rect4,42,36,yellow,Rect5,308,69,blue,31
216,Rect1,68,14,orange,Rect2,114,36,red,Rect3,118,30,red,Rect4,40,32,yellow,Rect5,306,65,blue,31
217,Rect1,66,16,orange,Rect2,114,36,red,Rect3,112,40,red,Rect4,40,32,yellow,Rect5,300,69,blue,31
218,Rect1,66,16,orange,Rect2,116,32,red,Rect3,112,30,red,Rect4,42,32,yellow,Rect5,300,69,blue,31
219,Rect1,66,20,orange,Rect2,116,34,red,Rect3,116,30,red,Rect4,40,38,yellow,Rect5,308,73,blue,31
220,Rect1,66,18,orange,Rect2,114,30,red,Rect3,118,36,red,Rect4,46,38,yellow,Rect5,306,67,blue,31
221,Rect1,64,20,orange,Rect2,120,38,red,Rect3,116,30,red,Rect4,44,32,yellow,Rect5,310,69,blue,31
222,Rect1,64,12,orange,Rect2,114,40,red,Rect3,116,30,red,Rect4,46,32,yellow,Rect5,308,69,blue,31
223,Rect1,60,16,orange,Rect2,116,34,red,Rect3,112,36,red,Rect4,46,36,yellow,Rect5,306,71,blue,31
224,Rect1,62,20,orange,Rect2,110,38,red,Rect3,112,30,red,Rect4,42,30,yellow,Rect5,306,69,blue,31
225,Rect1,64,16,orange,Rect2,112,38,red,Rect3,114,32,red,Rect4,42,30,yellow,Rect5,306,71,blue,31
226,Rect1,68,16,orange,Rect2,110,36,red,Rect3,118,32,red,Rect4,40,32,yellow,Rect5,300,73,blue,31
227,Rect1,60,20,orange,Rect2,110,32,red,Rect3,114,40,red,Rect4,44,38,yellow,Rect5,306,69,blue,31
228,Rect1,64,14,orange,Rect2,112,30,red,Rect3,114,38,red,Rect4,48,30,yellow,Rect5,308,73,blue,31
229,Rect1,60,20,orange,Rect2,110,36,red,Rect3,114,30,red,Rect4,42,38,yellow,Rect5,308,67,blue,31
230,Rect1,62,20,orange,Rect2,118,36,red,Rect3,116,36,red,Rect4,46,32,yellow,Rect5,304,67,blue,31
231,Rect1,64,16,orange,Rect2,112,36,red,Rect3,118,36,red,Rect4,46,36,yellow,Rect5,308,65,blue,31
232,Rect1,62,20,orange,Rect2,112,38,red,Rect3,114,30,red,Rect4,46,34,yellow,Rect5,304,73,blue,31
233,Rect1,66,12,orange,Rect2,116,38,red,Rect3,112,30,red,Rect4,46,32,yellow,Rect5,306,75,blue,31
234,Rect1,70,20,orange,Rect2,120,38,red,Rect3,110,34,red,Rect4,40,34,yellow,Rect5,304,67,blue,31
235,Rect1,68,20,orange,Rect2,114,38,red,Rect3,118,32,red,Rect4,50,34,yellow,Rect5,302,65,blue,31
236,Rect1,68,14,orange,Rect2,112,34,red,Rect3,110,38,red,Rect4,46,34,yellow,Rect5,302,65,blue,31
237,Rect1,66,12,orange,Rect2,120,38,red,Rect3,112,34,red,Rect4,44,38,yellow,Rect5,300,65,blue,31
238,Rect1,60,22,orange,Rect2,112,38,red,Rect3,112,36,red,Rect4,46,38,yellow,Rect5,304,65,blue,31
239,Rect1,64,22,orange,Rect2,118,32,red,Rect3,112,32,red,Rect4,50,34,yellow,Rect5,300,69,blue,31
240,Rect1,60,22,orange,Rect2,110,36,red,Rect3,118,36,red,Rect4,46,36,yellow,Rect5,302,71,blue,31
241,Rect1,60,16,orange,Rect2,118,34,red,Rect3,116,32,red,Rect4,46,38,yellow,Rect5,304,65,blue,31
242,Rect1,68,14,orange,Rect2,118,30,red,Rect3,116,34,red,Rect4,42,38,yellow,Rect5,302,71,blue,31
